Order Date,Ship Mode,Segment,Country,Market,Category,Sub Category,Product Name,Quantity,Sales,Discount,Profit,Shipping Cost,Year
2013-05-17,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 196,3,17,0.0,8.4966,1.82,2013
2013-05-28,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",2,13,0.0,6.1548,0.88,2013
2013-05-29,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1991,8,183,0.0,84.0512,17.93,2013
2013-06-11,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 226,5,32,0.0,15.552,1.91,2013
2013-06-17,Second Class,Consumer,United States,US,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",5,46,0.0,21.7845,1.14,2013
2013-06-18,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1914,4,220,0.0,107.7216,74.66,2013
2013-07-04,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 200,2,13,0.0,6.2208,1.62,2013
2013-07-08,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1942,1,49,0.0,24.47,10.36,2013
2013-08-15,Standard Class,Consumer,United States,US,Office Supplies,Paper,Array Memo Cubes,3,16,0.0,7.6146,2.15,2013
2013-08-16,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",4,38,0.0,18.0096,4.05,2013
2013-09-30,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1887,1,19,0.0,9.1056,1.89,2013
2013-10-08,Standard Class,Consumer,United States,US,Office Supplies,Paper,Astroparche Fine Business Paper,2,11,0.0,5.0688,1.61,2013
2013-10-09,Same Day,Consumer,United States,US,Office Supplies,Paper,Xerox 1925,2,62,0.0,27.882,3.0,2013
2013-11-04,Standard Class,Consumer,United States,US,Office Supplies,Paper,Multicolor Computer Printout Paper,3,315,0.0,150.984,22.15,2013
2013-11-04,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1892,3,116,0.0,56.9772,5.57,2013
2013-11-04,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 22,3,19,0.0,9.3312,1.3,2013
2013-11-11,Second Class,Consumer,United States,US,Office Supplies,Paper,Embossed Ink Jet Note Cards,3,68,0.0,32.5008,10.83,2013
2013-11-11,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1933,5,61,0.0,28.858,8.68,2013
2014-01-15,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 19,5,155,0.0,69.705,9.12,2014
2014-02-24,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",6,37,0.0,16.848,3.82,2014
2014-04-18,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",3,28,0.0,13.5072,2.84,2014
2014-04-26,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,19,0.0,8.763,1.52,2014
2014-05-03,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",5,16,0.0,7.065,0.93,2014
2014-05-03,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",5,34,0.0,15.824,2.54,2014
2014-06-12,Same Day,Consumer,United States,US,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",3,123,0.0,60.2553,23.65,2014
2014-06-19,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1930,6,39,0.0,19.0512,4.89,2014
2014-07-01,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1919,5,205,0.0,100.4255,14.98,2014
2014-07-24,First Class,Consumer,United States,US,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),9,58,0.0,27.9936,7.82,2014
2014-08-21,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 203,4,26,0.0,12.4416,1.27,2014
2014-09-10,Second Class,Consumer,United States,US,Office Supplies,Paper,Astroparche Fine Business Paper,9,48,0.0,22.8096,5.29,2014
2014-09-13,Second Class,Consumer,United States,US,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",3,166,0.0,79.8912,11.1,2014
2014-09-24,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1909,8,211,0.0,97.0784,15.64,2014
2014-10-10,First Class,Consumer,United States,US,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",5,35,0.0,16.544,7.79,2014
2014-11-12,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 201,3,19,0.0,9.3312,1.43,2014
2014-11-13,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1899,2,12,0.0,5.6644,1.71,2014
2014-12-02,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1905,7,45,0.0,21.7728,3.56,2014
2014-12-19,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1996,2,13,0.0,6.2208,0.94,2014
2014-12-19,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 213,5,32,0.0,15.552,1.09,2014
2011-02-21,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox 204,2,13,0.0,6.2208,1.14,2011
2011-04-06,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 194,1,55,0.0,26.6304,2.28,2011
2011-04-06,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 211,3,19,0.0,9.3312,2.11,2011
2011-05-13,Standard Class,Corporate,United States,US,Office Supplies,Paper,EcoTones Memo Sheets,2,8,0.0,3.84,0.15,2011
2011-07-25,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1966,1,6,0.0,3.1752,0.79,2011
2011-08-25,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 23,4,26,0.0,12.4416,3.11,2011
2011-10-31,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1952,13,65,0.0,30.4278,6.72,2011
2011-11-01,Standard Class,Home Office,United States,US,Office Supplies,Paper,Staples,5,21,0.0,9.63,0.92,2011
2011-11-11,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1979,4,124,0.0,55.764,27.69,2011
2012-03-19,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1974,2,12,0.0,5.8604,1.2,2012
2012-03-23,First Class,Corporate,United States,US,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",11,193,0.0,92.5056,27.31,2012
2012-03-23,Standard Class,Corporate,United States,US,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",4,33,0.0,16.68,2.16,2012
2012-04-18,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 19,2,62,0.0,27.882,8.38,2012
2012-05-18,Standard Class,Corporate,United States,US,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",2,11,0.0,5.3214,1.0,2012
2012-06-01,Standard Class,Home Office,United States,US,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",2,12,0.0,5.7624,0.82,2012
2012-09-17,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 216,5,32,0.0,15.552,7.02,2012
2012-09-19,Second Class,Corporate,United States,US,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,2,23,0.0,11.2504,3.62,2012
2012-11-12,First Class,Corporate,United States,US,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",5,16,0.0,7.065,3.41,2012
2012-11-27,Standard Class,Home Office,United States,US,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",3,114,0.0,53.4954,9.19,2012
2012-12-14,Second Class,Corporate,United States,US,Office Supplies,Paper,Xerox 23,1,6,0.0,3.1104,1.31,2012
2012-12-25,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1949,2,10,0.0,4.8804,0.22,2012
2013-01-31,Standard Class,Home Office,United States,US,Office Supplies,Paper,Staples,5,57,0.0,27.783,4.73,2013
2013-02-01,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1883,4,106,0.0,48.5392,8.11,2013
2013-02-13,Standard Class,Home Office,United States,US,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,3,147,0.0,73.41,8.08,2013
2013-03-11,First Class,Home Office,United States,US,Office Supplies,Paper,Rediform Voice Mail Log Books,5,15,0.0,7.152,2.67,2013
2013-05-10,Standard Class,Corporate,United States,US,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",4,32,0.0,14.418,1.48,2013
2013-05-31,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox 228,6,39,0.0,18.6624,2.81,2013
2013-06-07,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox Blank Computer Paper,5,100,0.0,46.953,4.9,2013
2013-06-27,Same Day,Corporate,United States,US,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",2,12,0.0,5.616,2.73,2013
2013-08-22,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1928,9,48,0.0,21.384,3.43,2013
2013-08-22,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1997,2,13,0.0,6.2208,1.16,2013
2013-09-18,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1995,1,6,0.0,3.1104,0.52,2013
2013-09-25,Second Class,Corporate,United States,US,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",5,42,0.0,20.85,5.31,2013
2013-11-05,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox 229,6,39,0.0,18.6624,6.66,2013
2013-11-22,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 222,5,32,0.0,15.552,1.97,2013
2013-12-07,Standard Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1977,2,13,0.0,6.4128,0.8,2013
2013-12-19,Standard Class,Corporate,United States,US,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",6,39,0.0,18.6624,5.02,2013
2013-12-26,First Class,Corporate,United States,US,Office Supplies,Paper,Xerox 225,7,45,0.0,21.7728,1.33,2013
2014-02-27,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1908,4,224,0.0,109.7208,17.93,2014
2014-02-27,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1924,4,23,0.0,11.3288,2.6,2014
2014-04-16,Second Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1883,3,79,0.0,36.4044,17.5,2014
2014-05-31,Standard Class,Corporate,United States,US,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",4,38,0.0,18.0096,1.63,2014
2014-06-04,Standard Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1947,2,12,0.0,5.382,1.4,2014
2014-10-16,First Class,Corporate,United States,US,Office Supplies,Paper,Xerox 1919,5,205,0.0,100.4255,35.32,2014
2014-12-03,Same Day,Corporate,United States,US,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",2,11,0.0,5.3214,1.77,2014
2014-12-05,First Class,Corporate,United States,US,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",2,12,0.0,5.7624,2.14,2014
2014-12-17,Second Class,Home Office,United States,US,Office Supplies,Paper,Xerox 1898,2,13,0.0,6.4128,1.23,2014
2011-04-06,Second Class,Corporate,United States,US,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,3,71,0.0,18.447,8.74,2011
2011-04-18,Standard Class,Consumer,United States,US,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",5,11,0.0,3.5475,1.79,2011
2011-04-18,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 351,4,13,0.0,3.8048,0.6,2011
2011-04-26,Standard Class,Home Office,United States,US,Office Supplies,Art,Newell 347,5,21,0.0,6.206,3.37,2011
2011-05-06,Standard Class,Home Office,United States,US,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,6,108,0.0,30.2232,10.88,2011
2011-06-09,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 322,4,7,0.0,1.9656,0.49,2011
2011-06-13,Standard Class,Corporate,United States,US,Office Supplies,Art,Staples,3,15,0.0,4.7916,2.33,2011
2011-06-30,Second Class,Corporate,United States,US,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",5,32,0.0,10.368,1.53,2011
2011-07-22,Standard Class,Home Office,United States,US,Office Supplies,Art,Crayola Colored Pencils,6,20,0.0,6.4944,1.37,2011
2011-10-31,Standard Class,Corporate,United States,US,Office Supplies,Art,Newell 325,3,12,0.0,3.717,1.78,2011
2011-11-03,Same Day,Home Office,United States,US,Office Supplies,Art,Prang Dustless Chalk Sticks,4,7,0.0,3.36,1.6,2011
2011-11-11,Standard Class,Consumer,United States,US,Office Supplies,Art,50 Colored Long Pencils,3,30,0.0,7.9248,4.02,2011
2011-11-25,Standard Class,Consumer,United States,US,Office Supplies,Art,Staples,3,7,0.0,2.604,0.62,2011
2011-12-05,Standard Class,Consumer,United States,US,Office Supplies,Art,Prang Colored Pencils,9,26,0.0,11.907,1.45,2011
2011-12-07,First Class,Consumer,United States,US,Office Supplies,Art,Newell 32,3,9,0.0,2.4192,0.71,2011
2011-12-20,Second Class,Consumer,United States,US,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,2,47,0.0,12.298,6.7,2011
2011-12-20,Second Class,Consumer,United States,US,Office Supplies,Art,Newell 31,1,4,0.0,1.1564,0.68,2011
2012-04-22,Standard Class,Consumer,United States,US,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener,3,64,0.0,16.6764,7.61,2012
2012-06-25,Standard Class,Consumer,United States,US,Office Supplies,Art,Staples,2,21,0.0,5.24,1.56,2012
2012-08-01,Standard Class,Home Office,United States,US,Office Supplies,Art,Prang Dustless Chalk Sticks,4,7,0.0,3.36,0.33,2012
2012-09-18,Standard Class,Corporate,United States,US,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",2,12,0.0,5.4896,0.91,2012
2012-11-20,Standard Class,Home Office,United States,US,Office Supplies,Art,Newell 333,7,19,0.0,5.0596,1.07,2012
2012-11-24,Standard Class,Consumer,United States,US,Office Supplies,Art,Prang Colored Pencils,5,15,0.0,6.615,0.76,2012
2012-12-10,Standard Class,Home Office,United States,US,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",2,56,0.0,15.764,4.99,2012
2012-12-17,Second Class,Consumer,United States,US,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,5,205,0.0,53.261,72.45,2012
2012-12-17,Second Class,Consumer,United States,US,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",5,16,0.0,7.052,2.73,2012
2013-01-28,Second Class,Corporate,United States,US,Office Supplies,Art,Newell 345,2,40,0.0,10.3168,3.91,2013
2013-04-20,Second Class,Consumer,United States,US,Office Supplies,Art,Newell 307,3,5,0.0,1.5288,0.41,2013
2013-04-20,Second Class,Consumer,United States,US,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,5,73,0.0,21.228,7.83,2013
2013-08-23,Standard Class,Corporate,United States,US,Office Supplies,Art,Newell 346,2,6,0.0,1.6704,0.52,2013
2013-08-27,Second Class,Corporate,United States,US,Office Supplies,Art,Newell Chalk Holder,2,8,0.0,3.7996,2.99,2013
2013-09-03,Standard Class,Consumer,United States,US,Office Supplies,Art,Blackstonian Pencils,7,19,0.0,5.2332,1.73,2013
2013-09-18,Standard Class,Corporate,United States,US,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,3,20,0.0,6.633,1.44,2013
2013-10-22,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell Chalk Holder,3,12,0.0,5.6994,0.09,2013
2013-11-11,Second Class,Consumer,United States,US,Office Supplies,Art,Newell 338,5,15,0.0,3.969,1.23,2013
2013-11-15,First Class,Consumer,United States,US,Office Supplies,Art,Newell 35,3,10,0.0,2.8536,2.71,2013
2013-11-27,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 31,9,37,0.0,10.4076,1.58,2013
2013-12-02,Standard Class,Corporate,United States,US,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",8,23,0.0,6.912,1.32,2013
2013-12-07,Standard Class,Home Office,United States,US,Office Supplies,Art,Blackstonian Pencils,7,19,0.0,5.2332,1.6,2013
2013-12-27,Standard Class,Corporate,United States,US,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,3,54,0.0,15.1116,2.39,2013
2014-01-16,Standard Class,Home Office,United States,US,Office Supplies,Art,Newell 347,5,21,0.0,6.206,2.0,2014
2014-02-20,First Class,Home Office,United States,US,Office Supplies,Art,Newell 320,3,13,0.0,3.4668,0.83,2014
2014-03-05,Standard Class,Corporate,United States,US,Office Supplies,Art,American Pencil,4,9,0.0,2.7028,0.7,2014
2014-03-19,Standard Class,Corporate,United States,US,Office Supplies,Art,Prang Drawing Pencil Set,5,14,0.0,3.753,0.56,2014
2014-03-31,Same Day,Consumer,United States,US,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,2,6,0.0,2.0672,0.38,2014
2014-04-28,First Class,Consumer,United States,US,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,2,47,0.0,12.298,10.4,2014
2014-04-28,First Class,Consumer,United States,US,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",4,124,0.0,33.4584,18.3,2014
2014-04-28,First Class,Consumer,United States,US,Office Supplies,Art,Newell Chalk Holder,3,12,0.0,5.6994,2.53,2014
2014-05-01,Standard Class,Corporate,United States,US,Office Supplies,Art,Faber Castell Col-Erase Pencils,2,10,0.0,4.0098,0.21,2014
2014-05-03,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 34,3,60,0.0,15.4752,3.63,2014
2014-05-23,First Class,Consumer,United States,US,Office Supplies,Art,SANFORD Major Accent Highlighters,7,50,0.0,18.8328,5.26,2014
2014-06-11,First Class,Consumer,United States,US,Office Supplies,Art,Newell 351,5,16,0.0,4.756,1.49,2014
2014-06-16,Standard Class,Consumer,United States,US,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",1,4,0.0,1.7466,0.29,2014
2014-06-30,First Class,Consumer,United States,US,Office Supplies,Art,Newell 328,2,12,0.0,3.0368,2.05,2014
2014-09-10,Second Class,Consumer,United States,US,Office Supplies,Art,Newell 35,2,7,0.0,1.9024,0.2,2014
2014-09-20,Standard Class,Corporate,United States,US,Office Supplies,Art,Boston 16765 Mini Stand Up Battery Pencil Sharpener,2,23,0.0,6.0632,1.41,2014
2014-09-20,Standard Class,Corporate,United States,US,Office Supplies,Art,Newell 33,3,17,0.0,4.8546,0.88,2014
2014-09-30,First Class,Consumer,United States,US,Office Supplies,Art,Newell 334,5,99,0.0,25.792,4.52,2014
2014-10-13,Second Class,Consumer,United States,US,Office Supplies,Art,Newell 343,2,6,0.0,1.5876,0.81,2014
2014-11-07,Standard Class,Consumer,United States,US,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,2,6,0.0,1.7608,0.19,2014
2014-11-15,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 347,8,34,0.0,9.9296,1.02,2014
2014-12-03,Same Day,Corporate,United States,US,Office Supplies,Art,Prang Dustless Chalk Sticks,6,10,0.0,5.04,0.23,2014
2014-12-10,Second Class,Home Office,United States,US,Office Supplies,Art,Newell 314,2,11,0.0,2.79,1.5,2014
2014-12-19,First Class,Consumer,United States,US,Office Supplies,Art,Newell 327,3,7,0.0,1.7901,1.05,2014
2014-12-22,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 317,2,6,0.0,1.7052,0.66,2014
2014-12-22,Standard Class,Consumer,United States,US,Office Supplies,Art,Newell 327,3,7,0.0,1.7901,0.29,2014
2011-03-23,Second Class,Consumer,United States,US,Office Supplies,Storage,Economy Rollaway Files,2,330,0.0,85.904,34.62,2011
2011-04-15,Same Day,Home Office,United States,US,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,2,107,0.0,31.0184,20.75,2011
2011-07-25,Second Class,Home Office,United States,US,Office Supplies,Supplies,Acme Kleen Earth Office Shears,4,16,0.0,4.5008,0.86,2011
2011-07-27,Second Class,Corporate,United States,US,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",2,276,0.0,0.0,32.27,2011
2011-10-28,First Class,Corporate,United States,US,Office Supplies,Storage,Eldon Portable Mobile Manager,5,141,0.0,38.178,14.96,2011
2011-10-28,First Class,Corporate,United States,US,Office Supplies,Supplies,Premier Automatic Letter Opener,2,481,0.0,14.4222,21.55,2011
2011-10-28,First Class,Corporate,United States,US,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,2,6,0.0,0.0628,1.41,2011
2011-11-11,Second Class,Home Office,United States,US,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",2,8,0.0,2.0228,0.92,2011
2011-11-15,First Class,Consumer,United States,US,Office Supplies,Supplies,Acme Box Cutter Scissors,2,20,0.0,5.3196,5.13,2011
2011-11-16,First Class,Corporate,United States,US,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,3,345,0.0,10.3473,89.84,2011
2011-11-23,First Class,Consumer,United States,US,Office Supplies,Envelopes,Pastel Pink Envelopes,3,22,0.0,10.4832,2.9,2011
2011-12-05,First Class,Consumer,United States,US,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,6,250,0.0,72.5754,36.78,2011
2011-12-06,First Class,Corporate,United States,US,Office Supplies,Storage,Standard Rollaway File with Lock,7,1261,0.0,327.9458,506.49,2011
2011-12-19,First Class,Corporate,United States,US,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,5,23,0.0,8.7945,2.33,2011
2011-12-19,First Class,Corporate,United States,US,Office Supplies,Labels,Avery 516,2,15,0.0,6.8714,1.2,2011
2011-12-27,Second Class,Home Office,United States,US,Office Supplies,Labels,Staples,4,12,0.0,5.4332,1.06,2011
2012-02-15,Second Class,Consumer,United States,US,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,6,541,0.0,157.0176,43.71,2012
2012-04-18,Second Class,Home Office,United States,US,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",7,947,0.0,9.4717,36.83,2012
